description,prob_type
"Clear blocked drains for two sinks in 2nd Flr Restroom.
Req. 74212
Officer in charge
410-396-1258

John Hammock",Plumbing
"Replace leaking trap on sink in 1st Flr Restroom.
Req. 74215
Officer in charge
410-396-3140

John Hammock",Plumbing
"exterior of the building has a broken pipe that is exposed thru the sidewalk.... Picture attached
on site Megan 443-263-4350
David Mitchell 443-263-4353",Plumbing
"There is no heat in the outer office area.
Contact: Doug Kerr 2575

Tonya Smith 1/24/2019
Assigned to Fischer",HVAC
"Please supply labor and material to BARCS.  The large main dog rooms is extremely hot with the heat pumping.  This is an emergency request.  Contact person is Melanie Snyder 410-396-4695.

Jonae Barnes 1/22/19
Assigned to JCI 
called afterhours line Ref #: 1-84089184937",HVAC
"Please send someone to check the heating unit in Room 8 back office, It's very cold.  contact person Nickell Saddler 6-1211.  Thank you.

Tonya Smith 1/23/2019
Assigned to JCI",HVAC
"The heater in the District Detective Lietanant's Office is not working.
It is very cold in there.

Tonya Smith 1/23/2019
Assigned to Reginald Frederick

Tonya Smith 1/23/2019
Assigned to Fischer",HVAC
"Repair the HVAC in the forensic bay, there is no heat.
Contact: Doug Kerr 2575

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"Two leaks from holes in the ceiling requiring constant changing of the bucket.
Angela McCauley
4103619681 
4438278515

Tonya Smith 1/22/2019
Assigned to Fischer",Plumbing
Two showers in the women's dorm are not draining.,Plumbing
"Make the necessary repairs to heating unit for both floors.

Contact person: Nelson Jackson 410-396-5988

Tonya Smith 1/22/2019
Assigned to Fresh Air",HVAC
"No heat  in the building

Tonya Smith 1/23/2019
Assigned to Fischer",HVAC
"Heat is not working in two areas of the building: winter shelter room and family room.
Angela McCauley
4103619681
4438278515

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
Check-In Trailer - Pipes are frozen,Plumbing
"There is no heat in evidence control the temp. is in the 60's in there rooms.
Contact: Sgt. Santucci 410-396-2048

Tonya Smith 1/23/2019
Assigned to Fischer",HVAC
"Need someone to make the necessary repairs to the pipe on the furnace.  Water was coming out of the pipe.  They had to turn the water off until someone comes to fix it.

Contact person: Ron Hunter 410-396-4934

Tonya Smith 1/23/2019
Assigned to Fischer",HVAC
Please investigate and repair as needed the large amount of water on the floor of the Motor pool parking area.,Plumbing
"Drivers trailer - No heat

Tonya Smith 1/23/2019
Assigned to Denver-Elek",HVAC
"leaking HVAC pipes in the gym, issue is from a broken air vent part on roof.

Jonae Barnes 1/22/18
Assigned to Denver-Elek",HVAC
"The sink in the kitchen is backing up and the overflow hose
 is attached to a decommissioned dishwasher causing a
spill into the kitchen.",Plumbing
"Need someone to come and unclog the sewer lines in the outside grounds.  The toilet is starting to back up due to this problem.

Contact person: Joanne Dimarino 443-984-1110

Jonae Barnes 1/23/19
Assigned to Heil",Plumbing
"Cold call in gym Pinderhughes: Attn. John Habicht, Jason Comegese
1/20/2019

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"NO Heat again, Please send someone there immediately to investigate the situation please.  contact person Muriel Rich 410-396-5671 or 443-721-9032

Jonae Barnes 1/22/19
Assigned to Fresh Air",HVAC
"Please provide labor & materials to adjust the thermostat in the admin offices. This request is an Emergency as this location is a center for seniors.

Karen Wheeler is the onsite contact and can be reached at 410-396-3861

Tonya Smith 1/23/2019
Assigned to Reginald Frederick

Tonya Smith 1/23/2019
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE BUSTED PIPE AT THE GWYNNS FALLS MAINT. YD - THIS IS A CONFIRMING SR - HIEL PLUMBING HAS ALREADY CONTACTED TO RESPOND

Tonya Smith 1/22/2019
Assigned to Heil Plumbing",Plumbing
"LABOR AND MATERIALS TO REPAIR THE HEAT AT THE PATAPSCO RECREATION CENTER - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT THE SHAKE AND BAKE FAMILY FUN CENTER - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT THE UPTON BOXING CENTER - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"Heating system out of service.
Angela McCauley
4103619681
4438278515

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"Heating system blowing cold air.
Angela McCauley
4103619681
4438278515

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"Air coil unit in the 1st grade classroom is not working. Motor? Fan unit? not urgent, we have two in that room.
Also same problem in the staff lounge, only one unit in that room, but still not urgent, I know you have bigger issues.
Thanks

Tonya Smith 1/23/2019
Assigned to Denver-Elek",HVAC
"Please provide a quote for window ac units.

Jeanne Hoover 443-984-3990

Tonya Smith 1/22/2019
Please provide quote Fischer, Fresh Air, & Denver -Elek",HVAC
"URGENT:  Replace about 30 burned out light bulbs throughout the Franklin St yard asap.
Contact person is Debbie Shum (410-396-0232).",Electrical
"please send someone the check the a/c unit in Room 203 (B65), no heat is coming from that the unit.  contact person Rena Dance 6-1960.  Thank you.

Tonya Smith 1/22/2019
Assigned to JCI",HVAC
"Please have someone check the a/c units in room 201 Conference room, (B-70, 71 & 72)  cool air is blowing out.  contact person Taylor Williams 5-6541.  Thank you.

Tonya Smith 1/22/2019
Assigned to JCI",HVAC
"No heat in offices of BBMR corridor of directors' and analyst offices.   Per Deputy Director, Caroline Sturgis, please address immediately.

Tonya Smith 1/23/2019
Assigned to JCI",HVAC
"Very cold in building - many registers are not putting out warm air. Provide labor and materials to service system to restore heat.

Tonya Smith 1/23/2019
Assigned to Fischer",HVAC
"I’ve just been informed that there’s a broken fuse in the heating unit box.

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
The heating unit in the sector 4 cubicle does not work. It does not turn on and the thermostat knob is broke.,HVAC
Heat is out on the lobby side of the hanger.,HVAC
There 2 showers on the women's side of  c dorm that are out of order.,Plumbing
The first and middle bathroom showers (men's side) floods.,Plumbing
One light in the women’s dorm needs to be replaced.,Electrical
"CES will provide all of the equipment listed below to install:
4MP HD Dome Camera 2.8, CAT 6 Cable Plenum rated
yellow, Terminate Camera & Program. Bryan Bartsch is
the point of contact.",Electrical
report of no heat in the lobby security station...,HVAC
"Please provide labor and material to repair the heat on the 5th floor work was done 11/19 by Fischer 

Tonya Smith 1/18/2019
Assigned to Fischer",HVAC
"Please provide labor and material to repair the leak in the kitchen work performed 11/19/18 By Fischer

Tonya Smith 1/18/2019
Assigned to Fischer",Plumbing
"Please provide labor and material to unclog the mop sink on the 1st floor work performed by Fischer 12/12/18

Olivia 1/18/19
Assigned to Fischer",Plumbing
"Please provide labor and material to repair the heat in room 107 work was performed 12/12/18

Olivia 1/18/18
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT BROOKLYN O'MALLEY RECREATION CENTER - THIS IS A CONFIRMING SR - JASON ALREADY RESPONDED ON 1/8/19

Tonya Smith 1/18/2019
Assigend to Fischer",HVAC
"Need someone to make the necessary repairs to the heating unit.
Contact person: Leaha Gatling 410-396-8418

Tonya Smith 1/22/2019
Assigned to Fischer

Jonae Barnes 1/22/18
duplicate WO, work was done by Fresh Air under WO#115281",HVAC
"Provide labor & material to repair heat in CASA area work performed by Fischer 12/20/18

Olivia 1/18/19
Assigned to Fischer",HVAC
"No heat call - provide labor & material to repair / adjustment heat in court rooms Work was completed by Fischer on 1/14/2019

Tonya Smith 1/18/2019
Assigned to Fischer",HVAC
"Please provide labor and material to repair the heat on the 1st floor it is too hot. Work performed by Fischer 12/17/18

Olivia 1/18/18
Assigned to Fischer",HVAC
"a work request for the no heat call at Pinderhughes that Fischer responded to on 12/26/18. They are trying to invoice for the work.

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"Rooms 401,402,403 power out",Electrical
CHECKED UNITS 6 & 4,HVAC
"Please replace 6th floor men's restroom bulbs that are out. 
 Thank You.",Electrical
"Provide emergency repairs to HVAC system.NO HEAT. Assign to J.F. Fisher due to familiarity to system. Contact David Grandison at 410-365-6942 if needed.

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"LABOR AND MATERIALS FOR HEAT REPAIR, SECURITY CAGING AT GREENMOUNT RECREATION CENTER - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/18/2019
Assigned to Fischer",HVAC
"Provide labor & material to replace thermostats in court room #5 Work was completed by Fischer on 12/26/2018
 
Tonya Smith 1/18/2019
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT ROOSEVELT RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"Replace leaking shutoff valve for hose bib at front of building.
Req. 74204
Officer in charge
410-396-1785

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Chuck Lapaglia.

Tonya Smith 1/22/2019
Assigned to Fischer",Plumbing
"Replace defective instant hot water heaters in Men's Room.
Req. 74205
Officer in charge
410-396-1785

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Chuck Lapaglia.

Tonya Smith 1/22/2019
Assigned to Fischer",Plumbing
"Clear all blocked floor drains and all roof drains at building.
Req. 74206
Officer in charge
410-396-1785

Wycliffe Eccles

Heil Plumbing notified.    Spoke to Eddie Heil

Tonya Smith 1/22/2019
Assigned to Heil Plumbing",Plumbing
"Check operation of duplex sump pumps and repair as required.
Req. 74207
Officer in charge
410-396-1785

Wycliffe Eccles

Heil Plumbing notified.   Spoke to Eddie Heil

Tonya Smith 1/22/2019
Assigned to Heil Plumbing",Plumbing
"Install heating unit in room to be used as classroom.
Req. 74209
Officer in charge
410-396-1785

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.

Tonya Smith 1/22/2019
Assigned to Fischer",HVAC
"Install new ceiling light fixture in 2nd Flr Locker Room. Install light fixture, combination heater and exhaust fan, and a GFI receptacle in new restroom on 2nd Flr.
Req. 74201
Officer in charge
410-396-6256

Terry Howell",Electrical
"Purchase two thermostats for the hanging heaters at this location.

Olivia 1/18/19
Assigned to Fred",HVAC
"REPLACED BLOWN LIGHTS IN FISCAL CONFERENCE ROOM, CHECKED HEAT UNITS & SUMP PUMP, CLEANED AROUND THE EXTERIOR OF THE BLDG., RESET BREAKER IN SCHOOL HEALTH OFFICE, UNCLOGGED SINK IN MEN'S RESTROOM, REPLACED LIGHT & BALLAST IN YOUTH VIOLENCE OFFICE, REPLACED LIGHT IN MANAGEMENT & PHONE ROOM",Electrical
"Disconnect power feed from Breaker #13 in rear breaker panel.
Req. 74202
Officer in charge
410-396-1785

Terry Howell",Electrical
"Clear drain for sink in EMS 5 Restroom.
Req. 74210
Officer in charge
410-396-0446

John Hammock",Plumbing
"Provide labor and materials to install rooftop AHU at WATF. 
Attn. John Habicht, Terrel, Steve",HVAC
The male bathroom in the rear water won't stop running,Plumbing
"The temperatures in both rooms of the Drug Analysis Unit have been varying wildly this week. It was freezing on Monday (1-14), then room temp on Tuesday (1-15), and now the temp is dropping today (down to high 60’s and dropping).
Contact: Monique Pitts Office: 410.396.2295

Tonya Smith 1/18/2019
Assigned to Fischer",HVAC
"Please provide repairs to the HVAC controls in the children's area.  Request Horton Mechanical.

Tonya Smith 1/18/2019
Assigned to Fischer",HVAC
"Install air compressor for station air.
Req. 74196
Officer in charge
410-396-6221

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.

Tonya Smith 1/18/2019
Assigned to Fischer",HVAC
"Repair floor drains in 2nd Flr. Restrooms.
Req. 74200
Officer in charge
410-396-5163

Wycliffe Eccles

Heil Plumbing notified.   Spoke to Eddie Heil.

Tonya Smith 1/18/2019
Assigned to Heil Plumbing",Plumbing
"Repair light fixtures in Apparatus Bay.
Req. 74199
Officer in charge
443-984-1741

Jim Fisher",Electrical
"Install switches on both overhead doors to activate traffic lights.
Req. 74198
Officer in charge
410-396-6221

Jim Fisher",Electrical
REPAIR OR REPLACE HOT WATER HEATER,Plumbing
"Ceiling light is out. Please repair.

Thank you,
Kevin Wight
410-545-6290",Electrical
"PROVIDE REPAIRS FOR BOILER CONTROLS UNUSUAL ODOR PRESENT

Jonae Barnes 1/17/19
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT, UPSTAIRS IN THE MULTIPURPOSE ROOM AT MOUNT PLEASANT ICE ARENA - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/24/2019
Assigned to Fischer",HVAC
"Repair heating unit in Rm 126, unit not working.
Officer in charge
410-396-2715

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.

Tonya Smith 1/17/2018
Assigned to Fischer",HVAC
"Relocate junction boxes, switches and outlets in areas of newly constructed wall openings/doors. in conjunction with WO 114791",Electrical
"Need someone to fix the heating unit.  

Contact person; Leaha Gatling 410-396-8418

Jonae Barnes 1/17/19
Assigned to Fresh Air",HVAC
"Multiple heating units throughout the facility are inoperable or not functioning properly. 

George Locklear (Storekeeper) 443-984-3199

Jonae Barnes 1/17/19
Assigned to Denver-Elek",HVAC
"Repair heating unit in Medic Bay.
Req. 74188
Officer in charge
410-396-0208

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.

Tonya Smith 1/17/2018
Assigned to Fischer",HVAC
"Perform PM service on Interpure water filtration unit.
Req. 74189
Officer in charge
443-984-1529

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Tonya Smith 1/17/2018
Assigned to Fischer",Plumbing
"Repair heating unit in Rm 125, coil heating but blower does not work.
Officer in charge
410-396-2715

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Tonya Smith 1/17/2018
Assigned to Fischer",HVAC
"CHECKED HEAT UNITS & SUMP PUMP, GATHERED ALL RECYCLING MATERIALS, CLEANED AROUND THE EXTERIOR OF THE BLDG., UNCLOGGED SINK IN LUNCH ROOM, RESET BREAKER IN ADMINISTRATIVE OFFICE REPLACED LIGHTS IN KITCHEN AREA",HVAC
"CHECKED UNIT #1 & SUMP PUMP, CLEANED AROUND THE EXTERIOR OF THE BLDG., REPLACED LIGHTS IN HALLWAY, RECEIVED SHIPMENT OF SALT/ICE MELT",HVAC
"CHECKED HEAT UNITS & SUMP PUMP, CLEANED AROUND THE EXTERIOR OF THE BLDG., MOVED FURNITURE, REPLACED LIGHTS IN COMPUTER ROOM. WENT TO BALTIMORE LOCK TO HAVE MORE KEYS MADE",HVAC
TURNED OFF WATER FOUNTAIN IN HALLWAY,Plumbing
"CHECKED HEAT UNITS, CLEARED WATER FROM DRAINS, CLEANED AROUND THE EXTERIOR OF THE BLDG., REPLACED TOILET SEAT & TILE IN LADIES ROOM, UNCLOGGED TOILET IN MEN'S RESTROOM, REMOVED DECEASED RODENT IN ADMINISTRATIVE OFFICE, ASSISTED CARPET CONTRACTOR IN MAIN HALLWAY",HVAC
TURNED OFF WATER FOUNTAIN IN HALLWAY,Plumbing
"CHECKED ON HEAT UNITS, CLEARED WATER FROM AROUND DRAINS, CLEANED AROUND THE EXTERIOR OF THE BLDG., TIGHTENED TOILET SEAT IN LADIES RESTROOM & REPLACED TILE, REMOVED DECEASED RODENT, UNCLOGGED TOILET IN MEN'S ROOM",HVAC
Provide lighting materials to replace lights in 9th conference area,Electrical
"we have several toilets that are just running and running - but the septic company that drained the tank told us there was a steady stream water coming from the building...
help!
Annie and Sarah on site 410-821-7448",Plumbing
"we have several toilets that are just running and running - but the septic company that drained the tank told us there was a steady stream water coming from the building...
help!
Annie and Sarah on site 410-821-7448",Plumbing
Room 251 east too cold,HVAC
Room 556 East too cold,HVAC
Room 208 East radiator needs adjusting,HVAC
Room 113 Mitchell too warm,HVAC
There is a leake in the shift commander's office. Plus missing ceiling tiles. That's where the leak is coming from.,Plumbing
Please unclog the sink in the hallway outside of Homicide,Plumbing
"Please check the HVAC in the office of Ms. Lovette in central records. The vents are blowing out cold air.
Contact: Ray Branch

Tonya Smith 1/16/2019
Assigned to Fischer",HVAC
"no heat in the in the building...

Tonya Smith 1/16/2019
Assigned to Fischer",HVAC
"Once again. The 1st floor mens rest room heater is blowing cold sir.

Tonya Smith 1/16/2019
Assigned to Fischer",HVAC
"The heater in the Major's office is blowing cold air.

Tonya Smith 1/16/2019
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO UNCLOG A DRAIN LINE NEXT TO THE BOILER IN GREENMOUNT RECREATION CENTER - RECOMMEND HEIL PLUMBING TO RESPOND - CONTACT WALLY STEPHENSON (443) 580-9636 FOR ACCESS TO THE BUILDING AND SCHEDULING

Tonya Smith 1/16/2019
Assigned to Heil Plumbing",HVAC
"Attn Jason Ludd.....There is no electricity to 3 cubicles in room 8, please send someone a.s.a.p. to investigate the situation.  contact person Nickell Saddler, 6-1211",Electrical
Wall pack lights on side are blinking on and off,Electrical
"Need an electrician for electrical issues. 
Contact: Scott Demario with any questions.",Electrical
"Need an electrician for electrical issues. 
Contact: Scott Demario with any questions.",Electrical
"Need an electrician for electrical issues. 
Contact: Scott Demario with any questions.",Electrical
"Need an electrician for electrical issues. 
Contact: Scott Demario with any questions.",Electrical
"Emergency, Urgent.  Please someone to Quarantine Landfill to resort electricity (no electricity) to the yard as soon as possible.  contact person James Rohrback 410-375-6251 and or Tokunboh Nkokheli 443-386-9443.",Electrical
"Reset kitchen oven breaker. Switch is located in Kitchen office. Confirm oven is working.

Update 1/16/2019 Derrick M- Tenant hired an electrician who over wrote switch gear. Oven now will turn on if oven hood light is on. Please fix the wiring so that oven doesn't require the light to be on in order for the oven to work. See attached photo of wiring. Note blue wire with red cap.",Electrical
"The Major’s office has stains on the ceiling tiles from a leak. She would like for someone to come to see if the leak it still there and if so, repair it. Plus to replace the stained tiles.",Plumbing
"Replace defective GFI receptacle for Medic 10 shoreline.
Req. 74179
Officer in charge
410-396-9205

Ann Braun",Electrical
"Repair broken wire for doorbell on front entry door.
Req. 74186
Officer in charge
410-396-1258

Ann Braun",Electrical
Bathroom #7 on the second floor when used begins to leak down into bathroom #3 on the first floor.,Plumbing
Bathroom #7 on the second floor when used begins to leak down into bathroom #3 on the first floor.,Plumbing
When you flush the toilet it floods the bathroom below.,Plumbing
When you flush the toilet it floods the bathroom below.,Plumbing
"Please restore building's heat
RTU 1&2 state they are offline RTUs 3 and 6 are in alarm.

Tonya Smith 1/15/2019
Assigned to Fischer",HVAC
"There is NO heat on the second floor IT suit. Contact Lisa Morgan at (410)361-9735.

Tonya Smith 1/15/2019
Assigned to Fischer",HVAC
"On the 3rd floor in the HR office, the HVAC unit is not
working. It is not blowing out hot air. Please send someone
out to inspect/repair this HVAC unit.

Jonae Barnes 1/14/19
Assigned to Fischer",HVAC
"Room 230 east too cold

Tonya Smith 1/15/2019
Assigned to JCI",HVAC
"URGENT:  Repair heater over counter in storeroom at 2331 N Fulton Ave asap.
Contact person is anyone in storeroom (410-396-0908).

Tonya Smith 1/15/2019
Assigned to Fischer",HVAC
"Room 231 Mitchell too hot

Jonae Barnes 1/14/19
Assigned to JCI",HVAC
"Room 118 Mitchell

Jonae Barnes 1/14/19
Assigned to JCI",HVAC
"The a/c unit in the kitchen area on the 6th floor is leaking.  please send someone asap.  Thank you contact person Loretta Brown 6-3315

Tonya Smith 1/15/2019
Assigned to JCI",HVAC
"Complaint areas in the building are very cold; unit 1 & 2 are offline and units 3 & 6 are in alarm
immediate attention requested. Attn. John Habicht, HVAC team

Tonya Smith 1/15/2019
Assigned to Fischer",HVAC
"Room 302 East too cold

Jonae Barnes 1/14/19
Assigned to JCI",HVAC
the outlets on the front side of the building are not working in rooms 1-5 on the second floor.,Electrical
"The toilet seat in the ADA bathroom located on the ground floor needs fixed.  Please have someone from your staff arrive at our building to have this fixed.  Should  you have any questions, please contact Von Baynard 410-878-8920 or Rosalind Ambrose 410-878-8966.  Thank you for your attention to this matter.",Plumbing
"Please supply labor and material to repair the heat in the central conference room at WIC 621 N Eden St.The wall controls in the conference room do not consistently work and there is no heat in that room.  Contact person is Emma Zahn 410-396-9423.

Tonya Smith 1/15/2019
Assigned to Denver-Elek",HVAC
"Perform PM service on Interpure water filtration unit.
Req. 74176
Officer in charge
410-396-0182

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.

Tonya Smith 1/15/2019
Assigned to Fischer",Plumbing
"Perform PM service on Interpure water filtration unit.
Req. 74177
Officer in charge
410-396-0420

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.

Tonya Smith 1/15/2019
Assigned to Fischer",Plumbing
There is a drain in the middle of the floor and when that bathroom is used dirty water begins to come up through that drain.,Plumbing
"There are 4 leaks coming from the ceiling in the drug vault.
Contact: Ray Branch",Plumbing
"Repair switch on overhead door #2 that activates traffic lights.
Req. 74182
Officer in charge
410-396-9350

Jim Fisher",Electrical
"Investigate electrical issue on 2nd Flr, most lights and receptacles not working.
Req. 74178
Officer in charge
410-396-6244

Jim Fisher",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
